No,R,PCC,XYZ,C Blue Red Yellow
185,....,[-0.16997832 -0.19781657 -0.14907803],[ 3.68596994  2.39385577  1.32713678],[ 0.1  0.7  0.4]
186,....,[-0.17166498 -0.19951118 -0.15126713],[ 3.64907729  2.37613894  1.15352536],[ 0.1  0.7  0.5]
187,....,[-0.17293545 -0.20074737 -0.15302815],[ 3.62024376  2.36080133  1.02167666],[ 0.1  0.7  0.6]
188,....,[-0.17392857 -0.20168225 -0.15450745],[ 3.59678662  2.34721653  0.91786451],[ 0.1  0.7  0.7]
189,....,[-0.14845593 -0.17279689 -0.12411832],[ 4.02459892  2.4013506   3.42164256],[ 0.1  0.8  0. ]
190,....,[-0.15975596 -0.18634692 -0.13777856],[ 3.80254722  2.35298226  2.32921724],[ 0.1  0.8  0.1]
191,....,[-0.16509312 -0.19238049 -0.14411366],[ 3.69550181  2.32259546  1.80213952],[ 0.1  0.8  0.2]
192,....,[-0.16829931 -0.19583998 -0.14797464],[ 3.62971898  2.29998887  1.48153422],[ 0.1  0.8  0.3]
193,....,[-0.17046408 -0.19808435 -0.15068091],[ 3.58408545  2.2817877   1.26301711],[ 0.1  0.8  0.4]
194,....,[-0.17203306 -0.19965174 -0.15274846],[ 3.54996443  2.26643616  1.10339186],[ 0.1  0.8  0.5]
195,....,[-0.17322647 -0.20080094 -0.15442262],[ 3.52309694  2.25308352  0.98115786],[ 0.1  0.8  0.6]
196,....,[-0.15161226 -0.17613786 -0.12847873],[ 3.87867752  2.28874182  3.08146956],[ 0.1  0.9  0. ]
197,....,[-0.16124829 -0.18772035 -0.140268  ],[ 3.69063617  2.24846778  2.15994723],[ 0.1  0.9  0.1]
198,....,[-0.16599902 -0.19311083 -0.14600654],[ 3.59565847  2.22243974  1.69485638],[ 0.1  0.9  0.2]
199,....,[-0.16891595 -0.19626496 -0.14958565],[ 3.53594713  2.20282099  1.40562288],[ 0.1  0.9  0.3]
200,....,[-0.17091434 -0.19833536 -0.1521289 ],[ 3.49393528  2.18689669  1.20570382],[ 0.1  0.9  0.4]
201,....,[-0.1723786  -0.19979208 -0.15408941],[ 3.46221525  2.17338814  1.0582022 ],[ 0.1  0.9  0.5]
202,....,[-0.15421847 -0.17887733 -0.13218873],[ 3.75298265  2.19312956  2.80322744],[ 0.1  1.   0. ]
203,....,[-0.16254827 -0.18890574 -0.14249298],[ 3.591441    2.158996    2.01449132],[ 0.1  1.   0.1]
204,....,[-0.16681143 -0.19375645 -0.14772597],[ 3.50646149  2.136377    1.60051726],[ 0.1  1.   0.2]
205,....,[-0.16948043 -0.19664745 -0.15105931],[ 3.45192601  2.11912257  1.33790244],[ 0.1  1.   0.3]
206,....,[-0.17133297 -0.19856583 -0.15345826],[ 3.41305427  2.10501169  1.15405291],[ 0.1  1.   0.4]
207,....,[ 0.11209723  0.15007828  0.17350187],[ 10.54545345  10.85434673  38.30821703],[ 0.2  0.   0. ]
208,....,[-0.14561238 -0.12191148 -0.0574918 ],[ 4.93250466  6.70719078  7.38862462],[ 0.2  0.   0.1]
209,....,[-0.16552189 -0.15875282 -0.09010218],[ 4.30661551  5.7489461   4.18450663],[ 0.2  0.   0.2]
210,....,[-0.17142768 -0.17598112 -0.10557011],[ 4.03363988  5.22942868  2.93019071],[ 0.2  0.   0.3]
211,....,[-0.17378412 -0.18637975 -0.11507406],[ 3.87051943  4.88247013  2.25834682],[ 0.2  0.   0.4]
212,....,[-0.17485179 -0.19343499 -0.12168716],[ 3.75738723  4.62606444  1.83892902],[ 0.2  0.   0.5]
213,....,[-0.17536122 -0.19855517 -0.12664777],[ 3.6718588   4.42478346  1.55186794],[ 0.2  0.   0.6]
214,....,[-0.17560344 -0.20243643 -0.13056328],[ 3.60349962  4.26029149  1.34290418],[ 0.2  0.   0.7]
215,....,[-0.17571039 -0.20546886 -0.13377044],[ 3.54671758  4.12194463  1.18390521],[ 0.2  0.   0.8]
216,....,[-0.17574731 -0.20789067 -0.13647246],[ 3.49821076  4.00304935  1.05881859],[ 0.2  0.   0.9]
217,....,[-0.17574843 -0.2098568  -0.13879987],[ 3.45588517  3.89913974  0.95781186],[ 0.2  0.   1. ]
218,....,[-0.05348032 -0.05965631 -0.02046321],[  5.71750436   4.4679816   15.11348618],[ 0.2  0.1  0. ]
219,....,[-0.14049931 -0.15428073 -0.1058184 ],[ 3.87404954  3.77919643  5.48955908],[ 0.2  0.1  0.1]
220,....,[-0.15826684 -0.17439595 -0.12395636],[ 3.48662001  3.51129632  3.44011586],[ 0.2  0.1  0.2]
221,....,[-0.16574153 -0.1837561  -0.13264568],[ 3.30881795  3.34499076  2.51953131],[ 0.2  0.1  0.3]
